Latitude,Longitude,Stop Name,Stop Status
40.700472,-73.910078,PALMETTO ST/ST NICHOLAS AV,at stop
40.688515,-73.930609,GATES AV/MALCOLM X BL,at stop
40.688536,-73.930426,GATES AV/MALCOLM X BL,at stop
40.68854,-73.980014,FULTON ST/HUDSON AV,at stop
40.686134,-73.951298,GATES AV/NOSTRAND AV,approaching
40.685283,-73.958694,GATES AV/CLASSON AV,approaching
40.689913,-73.983489,FULTON ST/BOND ST,approaching
40.690333,-73.984536,FULTON ST/DUFFIELD ST,approaching
40.687195,-73.942061,GATES AV/THROOP AV,approaching
40.68767,-73.957498,FRANKLIN AV/GREENE AV,approaching
40.696042,-73.991051,Tillary St (not used),< 1 stop away
40.697671,-73.914035,GATES AV/KNICKERBOCKER AV,< 1 stop away
40.687018,-73.943611,GATES AV/THROOP AV,< 1 stop away
